user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Debbie Joan Miller,NY,"I share things you might be interested in knowing about!

 
New Media Design Certified
B.S. Molecular Genetics",2012-11-06 20:55:46,138,652,288,False,2020-08-04 05:52:23,"“The U.S. fundamentally failed in ways that were worse than I ever could have imagined,” Julia Marcus, an infectiou… https://t.co/UZX61nvssb",,Twitter for iPhone,False
justinscake,LA,Glitter Goddess of the Sunset Strip,2009-04-02 17:46:54,814,406,325501,False,2020-08-04 05:35:40,@realDonaldTrump Doesn't make sense. Voting by Mail Is Legal!!! #PresidentSnowflake #COVID19 Doesn't stop the Elect… https://t.co/XQygt92GDr,"['PresidentSnowflake', 'COVID19']",Twitter Web App,False
photoframd,NY,"just a photoframd world of photoshop, photography, Canon R5 & 7D2 DLSRs, Android and NYC life. More on my blog ;)",2009-01-14 19:39:12,15134,15154,5640,False,2020-08-04 05:34:14,"An impassioned obituary for a 79-year-old coronavirus victim blames Trump for his death, then calls out Texas Gov.… https://t.co/pBfklxyX0r",,Twitter for Android,False
justinscake,LA,Glitter Goddess of the Sunset Strip,2009-04-02 17:46:54,814,406,325501,False,2020-08-04 05:29:17,@realDonaldTrump When Barron goes to school the rest of the US can!Nobody wants to go to school &amp; catch #TrumpVirus… https://t.co/0E0j9rX85u,['TrumpVirus'],Twitter Web App,False
2011teacher,CA,You can't accept or normalize bigotry.  Not even from a president. #StandUpFightBack Organize now! #TheResistance #NotMyPresident,2011-03-01 05:57:36,1250,1476,12409,False,2020-08-04 05:21:31,"@KamalaHarris @JHT4Credit I’m not opposed to you as a vp pick @KamalaHarris, but keep your eye on the ball. Don’t g… https://t.co/NyiILm8IOY",,Twitter for iPhone,False
2011teacher,CA,You can't accept or normalize bigotry.  Not even from a president. #StandUpFightBack Organize now! #TheResistance #NotMyPresident,2011-03-01 05:57:36,1250,1476,12409,False,2020-08-04 05:18:21,"If we don’t get this man out of office, then we are FUBAR. #COVID19 https://t.co/FtK8H4uWOv",['COVID19'],Twitter for iPhone,False
justinscake,LA,Glitter Goddess of the Sunset Strip,2009-04-02 17:46:54,814,406,325501,False,2020-08-04 05:00:04,@realTuckFrumper Personal https://t.co/T6MDZg2tCH long as if she gets #COVID19 she doesn't whine. #TrumpVirusDeathToll156K,"['COVID19', 'TrumpVirusDeathToll156K']",Twitter Web App,False
daly. 🇩🇪🇯🇲✊🏽,"Washington,DC",Manufactured in Germany. Raised on independence. Defined by creativity... bartender/writer/singer/dancer,2009-11-13 06:27:37,449,382,2183,False,2020-08-04 04:57:24,"😂 thanks @keke (tweaked it a bit)
*
*
*
*
*
#pigs #coronavirus #andioop #legalizeit #drugsandhugs  #babysitter… https://t.co/Sio8LrXn4w","['pigs', 'coronavirus', 'andioop', 'legalizeit', 'drugsandhugs', 'babysitter']",IFTTT,False
Mark Dunkin,"McCrory,AR","That type guy hanging round gets people agitated. Forces them to take a position, one side or the other.",2011-03-09 19:32:51,178,1726,22974,False,2020-08-04 04:56:51,"2020 Retirement Plan: Take shots of Round-Up, strained through a Gastric Mesh,while playing scratch offs, and washi… https://t.co/XF26mRMWn3",,Twitter for iPhone,False
KANSAS/SEATTLE,"SEATTLE,WA","BORN IN KANSAS-RAISED ON A  NW  RANCH ,SEEN 20 NATIONS,CATERPILLAR TECH.,EET-, TRAINED USA COMBAT SOLDIERS,HORSES&DOGS- LOVE LIFE-JESUS IS MY LORD",2013-01-08 02:57:00,29467,29252,75214,False,2020-08-04 04:18:04,"@SujoreJ Once #COVID19 is handled (maybe); people will be able to return to the stadiums. 
       But until then Fl… https://t.co/rTAVgnNu1O",['COVID19'],Twitter Web App,False
Lex,NY,,2012-02-10 19:49:11,18,21,912,False,2020-08-04 04:11:53,It's crucial to research all angles when trying to understand what is happening with the coronavirus.… https://t.co/hxpCNiHvQ6,,Twitter Web App,False
"Carlo ""Crow"" Fiorletta",NJ,"Actor Director Producer Teacher Coach . County comm. local district 3 Ocean County 4.  DETOURS film https://t.co/RBpN3xKLD8
President GIAA. Liberal",2009-03-09 21:32:56,2125,3998,31721,False,2020-08-04 03:59:59,@Lissthesassy @anthonydellomes @seanhannity @WhiteHouse Same SHannITy different day @seanhannity #COVID19 #TrumpVirus #TrumpFailedAmerica,"['COVID19', 'TrumpVirus', 'TrumpFailedAmerica']",Twitter Web App,False
DPH10,"Jersey Shore,NJ","AAU Basketball NJ ShoreShots U13, WLB MidMonmouth, FAS Middle School, Shore Regional Little League,(IG)@DPH10HIGHLIGHTS🏀⚾️🏃🏼🏆",2017-05-01 04:14:03,10,82,108,False,2020-08-04 03:45:27,#DPH10⚾️ #usabl #u14 #summer2020 #covid19 #baseball #shoredevils #onthemound #pitcher #strike #swingandamiss… https://t.co/p7ycYvCJde,"['DPH10', 'usabl', 'u14', 'summer2020', 'covid19', 'baseball', 'shoredevils', 'onthemound', 'pitcher', 'strike', 'swingandamiss']",Instagram,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35099,29,16095,False,2020-08-06 16:39:49,"$MSMY .0028 falling #COVID19 #handsanitizer play 

Stocks are like vacations , If you love Cancun you will always g… https://t.co/9kGLrfl30z","['COVID19', 'handsanitizer']",Twitter Web App,False
